节点,项目    ,max               ,min               ,ave               ,24小时总计            ,1h                ,2h                ,3h                ,4h                ,5h                ,6h                ,7h                ,8h                ,9h                ,10h               ,11h               ,12h               ,13h               ,14h               ,15h               ,16h               ,17h               ,18h               ,19h               ,20h               ,21h               ,22h              ,23h               ,24h
0 ,电力盈余  ,0                 ,0                 ,0.0               ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                ,0                 ,0
0 ,新能源弃电 ,0                 ,0                 ,0.0               ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                ,0                 ,0
1 ,负荷    ,0                 ,0                 ,0.0               ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                ,0                 ,0
1 ,线潮L1-0,3933.3298265155727,1584.223486837609 ,2388.3068147572953,57319.36355417509 ,1965.272282811579 ,1740.6173861616871,1740.6173861616871,1688.8016311138972,1584.223486837609 ,1688.8206948590496,1740.369448442776 ,1700.328206428062 ,2341.9292151688674,2341.2246783053174,2363.416434870951 ,2507.719829969709 ,3455.3779415655526,3933.3298265155727,3426.286142622091 ,3048.2835444580346,3108.4107100070373,3322.276134887462 ,2864.8555594242343,2323.9767425192476,2301.4334588020797,2249.366091159379,1917.1544382716302,1965.272282811579
1 ,线潮L3-1,953.3621261717125 ,259.5009255422831 ,446.5706101999465 ,10717.694644798716,285.6154772002222 ,259.5638608988647 ,259.5638608988647 ,270.7942510130297 ,298.43685171932793,270.7515164687487 ,259.5009255422831 ,267.9576285951186 ,363.3262213582583 ,363.86099762053243,376.1383566715836 ,436.9707666440013 ,700.1887905589269 ,953.3621261717125 ,718.5724959580872 ,727.6708796971016 ,770.2331635620669 ,796.681101368196  ,629.2873253080621 ,391.6073192267972 ,361.18779294551877,372.3561336236491,298.45132454753906,285.6154772002222
1 ,火电装机  ,900               ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
1 ,新能源装机 ,630               ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
1 ,风电装机  ,0                 ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
1 ,光伏装机  ,630               ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
1 ,火电出力  ,900.0             ,390.0             ,725.9166666666666 ,17422.0           ,790.0             ,690.0             ,690.0             ,640.0             ,540.0             ,640.0             ,690.0             ,652.0             ,900.0             ,900.0             ,890.0             ,840.0             ,900.0             ,640.0             ,812.0             ,438.0             ,390.0             ,590.0             ,690.0             ,840.0             ,890.0             ,840.0            ,740.0             ,790.0
1 ,新能源出力 ,270               ,0                 ,36.333333333333336,872               ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,3                 ,11                ,22                ,47                ,68                ,270               ,268               ,98                ,82                ,3                 ,0                 ,0                ,0                 ,0
1 ,输电线功率 ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0              ,0.0               ,0.0
1 ,电力盈余  ,0                 ,0                 ,0.0               ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                ,0                 ,0
1 ,新能源弃电 ,0                 ,0                 ,0.0               ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                ,0                 ,0
2 ,负荷    ,0                 ,0                 ,0.0               ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                 ,0                ,0                 ,0
2 ,线潮L2-0,6671.916377064831 ,3390.249337705422 ,4594.322296677216 ,110263.73512025319,3765.8057448221302,3390.249337705422 ,3390.249337705422 ,3422.5635771915295,3659.2298050904315,3421.0436083339127,3390.497578948704 ,3418.5402443861813,4559.612774418073 ,4582.833618826698 ,4659.728781975728 ,4615.944680558543 ,5502.082636744964 ,5474.073103916473 ,5681.322754500565 ,6660.038720151549 ,6671.916377064831 ,6052.567052508494 ,6219.013726945145 ,4714.1850664193125,4699.217625582192 ,4731.782725080174,3815.430496554546 ,3765.8057448221302
2 ,线潮L4-2,1123.9234276622299,446.1150341051635 ,696.209661587951  ,16709.031878110825,639.4613865811631 ,565.4973518572799 ,565.4973518572799 ,542.264421044851  ,446.1150341051635 ,543.3072350137987 ,564.5601954639477 ,542.1011573434376 ,792.2859691341004 ,785.7513370301177 ,726.977751425913  ,768.6714474608318 ,1064.5812629271134,1123.9234276622299,976.197179275283  ,597.0604333139121 ,630.5166938531203 ,821.0931757694411 ,689.9143801335366 ,701.5069580201374 ,693.9175288267268 ,671.7456349737123,616.6231784565643 ,639.4613865811631
